accession_number	scientific_name	common_name	building	life_form	media_count
2017-0476A	Viburnum prunifolium	Blackhaw Viburnum,Plum Leaf Viburnum,Black Haw	NMAI DC	Deciduous shrub/sub-shrub	5
2017-0477A	Viburnum prunifolium	Blackhaw Viburnum,Plum Leaf Viburnum,Black Haw	NMAI DC	Deciduous shrub/sub-shrub	2
2017-0480A	Viburnum prunifolium	Blackhaw Viburnum,Plum Leaf Viburnum,Black Haw	NMAI DC	Deciduous shrub/sub-shrub	2
2017-0564A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMAH	Deciduous tree	3
2017-0475A	Viburnum prunifolium	Blackhaw Viburnum,Plum Leaf Viburnum,Black Haw	NMAI DC	Deciduous shrub/sub-shrub	2
2018-0036A	Ulmus americana 'Jefferson'	American Elm cultivar	NMNH	Deciduous tree	4
2018-0003A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova		Deciduous tree	4
2018-0754A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	2
2018-0764A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	6
2018-1072A	Ulmus americana 'Jefferson'	American Elm cultivar	NMAI DC	Deciduous tree	2
2018-1235A	Ulmus americana 'JFS-Prince II' Colonial Spirit	Colonial Spirit American Elm		Deciduous tree	2
2018-0014A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0022A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0019A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0018A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0024A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0020A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0015A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0016A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0017A	Zelkova serrata 'Green Vase'	Zelkova cultivar	NASM	Deciduous tree	2
2018-0034A	Zelkova serrata 'Green Vase'	Zelkova cultivar	Freer	Deciduous tree	12
2011-2947A	Pyrus calleryana	Callery Pear		Deciduous tree	1
2011-2963A	Pyrus calleryana	Callery Pear		Deciduous tree	9
2011-2936A	Pyrus calleryana	Callery Pear		Deciduous tree	1
2018-1224A	Quercus palustris 'Pringreen' GREEN PILLAR	Pin Oak cultivar	NMNH	Deciduous tree	8
