width	height	ids_id
1333.0	2000.0	SG-2015-2174A-SUM1-HL
1333.0	2000.0	SG-2015-2174A-WIN-HL
1333.0	2000.0	SG-2015-2174A-FAL1-HL
		SG-2015-2192A-BAR1-HL
1333.0	2000.0	SG-2015-2192A-FRU1-HL
2000.0	1334.0	SG-2015-2192A-FAL1-HL
		SG-2015-2192A-WIN1-HL
1333.0	2000.0	SG-2015-2192A-STE1-HL
1333.0	2000.0	SG-2015-2171A-FAL1-HL
		SG-2015-2171A-SUM1-HL
1334.0	2000.0	SG-2015-2171A-WIN-HL
2000.0	1333.0	SG-2015-2191A-SUM1-HL-000002
2000.0	1333.0	SG-2015-2191A-FAL1-HL
2000.0	1333.0	SG-2015-2191A-WIN1-HL
1333.0	2000.0	SG-2015-2191A-LEB1-HL
1334.0	2000.0	SG-2015-2191A-LEF1-HL
1999.0	1333.0	SG-2015-2191A-SNP1-HL
2000.0	1333.0	SG-2015-2191A-CON1-HL
1333.0	2000.0	SG-2015-2191A-BAR1-HL
1999.0	1333.0	SG-2015-2191A-STE1-HL
		SG-2015-2191A-STE3-HL
1333.0	2000.0	SG-2015-2191A-STE4-HL
1333.0	2000.0	SG-2015-2191A-BAR2-HL
1333.0	2000.0	SG-2017-0406A-WIN-HL
1333.0	1999.0	SG-2017-0406A-SPR1-HL
1333.0	2000.0	SG-2017-0406A-FAL1-HL
1333.0	1999.0	SG-2017-0406A-SUM-HL
1334.0	2000.0	SG-2017-0406A-BAR-HL-000002
2000.0	1333.0	SG-2017-0496A-FLO1-HL
1334.0	2000.0	SG-2017-0496A-SUM1-HL
1333.0	2000.0	SG-2017-0496A-FAL1-HL
		SG-2017-0496A-WIN-HL
		SG-2017-0496A-SPR1-HL
2000.0	1333.0	SG-2017-0496A-FRU1-HL
2000.0	1333.0	SG-2017-0496A-BUD2-HL
1333.0	2000.0	SG-2017-0496A-BAR1-HL
1334.0	2000.0	SG-2017-0496A-LEF1-HL
2000.0	1333.0	SG-2017-0496A-SNP2-HL
